DSH Community Installer third-party package inventory
=====================================================

Generated from the pnpm 11.7.0 offline payload for DSH 0.1.0-rc.7.
Package count: 446

Format: package path | version | SPDX license
node_modules/@deepseek-ai/dsh-client-ui-reference | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-client-ui-renderer | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-client-ui-settings | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-client-ui-settings-general | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-client-ui-settings-models | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-client-ui-settings-plugin-inventory | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-client-ui-settings-plugins | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-client-ui-sidebar | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-client-ui-skill | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-client-ui-subagent | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-client-ui-theme | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-client-ui-tool | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-client-ui-trajectory | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-client-ui-user-questions | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-client-ui-workflow-run | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-client-ui-workspace | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-cmdline | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-code-runtime | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-code-runtime-worker-thread | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-command-compact | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-command-feedback | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-command-goal | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-commands | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-compaction | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-compaction-basic | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-compaction-tool-result-pruner | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-cordis-client-runner | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-cordis-host-runner | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-credentials | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-credentials-local | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-file-reference | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-file-reference-local | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-fs | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-fs-local | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-fs-observation-policy | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-fs-sandbox | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-goal | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-goal-round-driver | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-headless | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-home-paths | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-host-apiproxy | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-host-directory-picker | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-host-directory-picker-auto | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-host-directory-picker-browse | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-host-directory-picker-native | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-host-frontend-static | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-host-plugin-inventory | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-host-webserver | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-invariants | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-jobs | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-jobs-local | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-launch-environment | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-llm | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-llm-deepseek | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-llm-pi-ai | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-llm-retry | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-mcp-client | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-message-feedback | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-native-command | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-output-retention | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-permission-presets | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-persona | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-plan-mode | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-pwsh-local | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-pwsh-sandbox | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-repeat-tool-reminder | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-sandbox | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-sandbox-local | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-sandbox-policy | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-sandbox-windows-acl | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-schedule | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-scope | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-session | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-session-checkpoint-policy | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-session-log-export | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-session-persistence | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-session-persistence-jsonl | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-session-projection | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-session-projection-cache | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-session-query | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-session-query-sqlite | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-session-reference | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-session-stats | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-session-telemetry | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-session-telemetry-otel | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-session-telemetry-otel/node_modules/@opentelemetry/core | 2.10.0 | Apache-2.0
node_modules/@deepseek-ai/dsh-session-telemetry-otel/node_modules/@opentelemetry/resources | 2.10.0 | Apache-2.0
node_modules/@deepseek-ai/dsh-session-title | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-session-title-first-prompt-llm | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-session-title-llm | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-settings | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-settings-file | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-shell | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-shell-env | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-skill | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-skill-badge | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-skill-filesystem | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-skill-filesystem/node_modules/chokidar | 5.0.0 | MIT
node_modules/@deepseek-ai/dsh-skill-filesystem/node_modules/readdirp | 5.1.1 | MIT
node_modules/@deepseek-ai/dsh-spill | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-spill-local | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-spill-policy | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-storage | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-storage-domain | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-storage-json | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-subagent | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-subagent-fork-in-process | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-subagent-in-process-driver | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-subagent-spawn-in-process | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-subprocess | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-subprocess-local | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-system-prompt | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-terminal | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-terminal-bash | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-time-context | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-timeout | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tmux-context | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-token-meter | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-ask-user | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-bash | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-bash-persistent | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-call-timeout-policy | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-cordis | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-fs | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-fs-search | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-goal | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-jobs | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-pwsh | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-ralph | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-skill | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-str-replace-editor | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-subagent | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-subagent-control | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-subagent-report | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-todo | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-web | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tool-workflow | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-tools | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-typert-loader | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-typert-protocol | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-typert-registry | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-user-approval | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-user-questions | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-web | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-web-app | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-web-frontend | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-web-search-deepseek | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-workflow | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-workflow-worker-thread | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/dsh-workspace | 0.1.0-rc.8 | MIT
node_modules/@deepseek-ai/node-addon-landlock-run | 0.1.1 | BSD-3-Clause
node_modules/@deepseek-ai/schemastery | 3.18.1 | MIT
node_modules/@earendil-works/pi-ai | 0.82.1 | MIT
node_modules/@earendil-works/pi-ai/node_modules/@opentelemetry/api | 1.9.0 | Apache-2.0
node_modules/@google/genai | 1.52.0 | Apache-2.0
node_modules/@hono/node-server | 2.1.1 | MIT
node_modules/@img/colour | 1.1.0 | MIT
node_modules/@img/sharp-win32-x64 | 0.35.3 | Apache-2.0 AND LGPL-3.0-or-later
node_modules/@joplin/turndown-plugin-gfm | 1.0.67 | MIT
node_modules/@koromix/koffi-win32-x64 | 3.1.5 | MIT
node_modules/@mistralai/mistralai | 2.2.6 | Apache-2.0
node_modules/@mistralai/mistralai/node_modules/@opentelemetry/api | 1.9.0 | Apache-2.0
node_modules/@mixmark-io/domino | 2.2.0 | BSD-2-Clause
node_modules/@modelcontextprotocol/sdk | 1.30.0 | MIT
node_modules/@modelcontextprotocol/sdk/node_modules/content-type | 1.0.5 | MIT
